Material,energy,intensity
Mo,46.0,0.09199729999999999
Mo,46.25,0.088816775
Mo,46.5,0.07824283
Mo,46.75,0.06614357650000001
Mo,47.0,0.072176014
Mo,47.25,0.06251655040000001
Mo,47.5,0.052758273999999994
Mo,47.75,0.060326094999999996
Mo,48.0,0.0469110625
Mo,48.25,0.040414495
Mo,48.5,0.031063062500000002
Mo,48.75,0.03484511666666667
Mo,49.0,0.024972210000000005
Mo,49.25,0.018248222666666668
Mo,49.5,0.012762589999999999
Mo,49.75,0.012699544409800001
Mo,50.0,0.005128725
Mo,50.25,0.0012724695
Mo,50.5,0.000376972
Mo,50.75,0.00164121
Mo,51.0,1.88757e-12
Mo,51.25,0.00212532
Rh,0.25,0.0
Rh,0.5,0.0
Rh,0.75,0.0
Rh,1.0,0.0
Rh,1.25,0.0
Rh,1.5,0.0
Rh,1.75,0.0
Rh,2.0,0.0
Rh,2.25,0.0
Rh,2.5,0.0
Rh,2.75,0.0
Rh,3.0,0.0
Rh,3.25,0.0
Rh,3.5,0.0
Rh,3.75,0.0
Rh,4.0,0.0
Rh,4.25,0.1610805802759805
Rh,4.5,0.1843265165853659
Rh,4.75,0.275238732195122
Rh,5.0,0.4307220439024389
Rh,5.25,0.6568362560975611
Rh,5.5,1.039983780487805
Rh,5.75,1.481305804878049
Rh,6.0,2.025449024390244
Rh,6.25,2.7007851463414636
Rh,6.5,3.33732787804878
Rh,6.75,4.074838731707317
Rh,7.0,4.680556756097561
Rh,7.25,5.402663414634146
Rh,7.5,5.923101219512195
Rh,7.75,6.613679024390246
Rh,8.0,7.2647019512195135
Rh,8.25,7.569138048780489
Rh,8.5,7.745710731707314
Rh,8.75,8.044295853658534
Rh,9.0,8.243572926829266
Rh,9.25,8.355687073170731
Rh,9.5,8.243851463414634
Rh,9.75,8.22061219512195
Rh,10.0,8.328101951219512
Rh,10.25,8.389027463414632
Rh,10.5,7.01747592682927
Rh,10.75,7.457736878048781
Rh,11.0,7.256285439024391
Rh,11.25,8.02407043902439
Rh,11.5,7.465123609756096
Rh,11.75,7.235597804878049
Rh,12.0,6.981641999999998
Rh,12.25,6.611686829268291
Rh,12.5,6.489604317073169
Rh,12.75,6.41435487804878
Rh,13.0,6.010792804878049
Rh,13.25,5.743962526829268
Rh,13.5,5.621176536585363
Rh,13.75,5.4133753634146355
Rh,14.0,5.235182212195122
Rh,14.25,5.041229148780488
Rh,14.5,4.881316124390244
Rh,14.75,4.718603392682928
Rh,15.0,4.532508492682927
Rh,15.25,4.384504768292684
Rh,15.5,4.231494017073172
Rh,15.75,4.097983121951219
Rh,16.0,3.9280424097560984
Rh,16.25,3.817148126829268
Rh,16.5,3.6659898658536574
Rh,16.75,3.5564145829268288
Rh,17.0,3.4125189390243906
Rh,17.25,3.3180655780487798
Rh,17.5,3.1959237951219515
Rh,17.75,3.0972257682926827
Rh,18.0,2.9777772585365856
Rh,18.25,2.8777600780487806
Rh,18.5,2.800045192682927
Rh,18.75,2.7078205975609757
Rh,19.0,2.637961566585366
Rh,19.25,2.521700031707317
Rh,19.5,2.6069436090243903
Rh,19.75,2.5401006851951218
Rh,20.0,14.731744984390245
Rh,20.25,21.122837360975744
Rh,20.5,4.27551578025
Rh,20.75,1.9324170742500002
Rh,21.0,2.087768181
Rh,21.25,1.92322556375
Rh,21.5,1.8992794942500002
Rh,21.75,1.8404935592307696
Rh,22.0,1.9109551848717945
Rh,22.25,1.5650699874358973
Rh,22.5,3.400341541282051
Rh,22.75,6.048354346052631
Rh,23.0,2.6664527042105264
Rh,23.25,2.1422746824324332
Rh,23.5,1.3903973061111115
Rh,23.75,1.335953988888889
Rh,24.0,1.3217569185714284
Rh,24.25,1.329606267941176
Rh,24.5,1.2852307758823527
Rh,24.75,1.2855853954545458
Rh,25.0,1.2544625051515148
Rh,25.25,1.2049869718181818
Rh,25.5,1.1789751142424243
Rh,25.75,1.1623170665625004
Rh,26.0,1.1372577825
Rh,26.25,1.0894337875
Rh,26.5,1.0660743278125002
Rh,26.75,1.0536379983870967
Rh,27.0,1.0281249138709676
Rh,27.25,0.9939524516129034
Rh,27.5,0.9612089319354838
Rh,27.75,0.9687436243333335
Rh,28.0,0.9239628489999999
Rh,28.25,0.9011154306666668
Rh,28.5,0.8735586569999999
Rh,28.75,0.8735397310344828
Rh,29.0,0.8449838517241378
Rh,29.25,0.812265538275862
Rh,29.5,0.7854030603448277
Rh,29.75,0.7639298699999998
Rh,30.0,0.7922303825925925
Rh,30.25,0.7635837314814815
Rh,30.5,0.7372907796296296
Rh,30.75,0.7133424751851853
Rh,31.0,0.7426404428000001
Rh,31.25,0.712355016
Rh,31.5,0.6951851436000002
Rh,31.75,0.7228757843478261
Rh,32.0,0.6984574169565217
Rh,32.25,0.6688450691304347
Rh,32.5,0.6821685872727272
Rh,32.75,0.7194354540000001
Rh,33.0,0.6932733785
Rh,33.25,0.662971031
Rh,33.5,0.6441429375000001
Rh,33.75,0.6513483005263158
Rh,34.0,0.622886805263158
Rh,34.25,0.6012657421052632
Rh,34.5,0.5786463336842105
Rh,34.75,0.5880814294444444
Rh,35.0,0.5625410316666666
Rh,35.25,0.5434899305555556
Rh,35.5,0.5154605796111111
Rh,35.75,0.529725251764706
Rh,36.0,0.5019764085294117
Rh,36.25,0.4895456958823529
Rh,36.5,0.4650606911764706
Rh,36.75,0.4748270681249999
Rh,37.0,0.45197281375000004
Rh,37.25,0.439268248125
Rh,37.5,0.4393763993333334
Rh,37.75,0.42665090666666666
Rh,38.0,0.4025900373333334
Rh,38.25,0.387252324
Rh,38.5,0.36701091533333335
Rh,38.75,0.3743762592857144
Rh,39.0,0.3544870221428571
Rh,39.25,0.3430224185714286
Rh,39.5,0.3419168965384615
Rh,39.75,0.3371702453846153
Rh,40.0,0.3133504930769231
Rh,40.25,0.30103028692307693
Rh,40.5,0.30608178
Rh,40.75,0.2975874310833333
Rh,41.0,0.2648332583333333
Rh,41.25,0.26081554583333333
Rh,41.5,0.2636722704545455
Rh,41.75,0.24759981545454543
Rh,42.0,0.23591324545454545
Rh,42.25,0.22194705009090906
Rh,42.5,0.22573821
Rh,42.75,0.21703648099999998
Rh,43.0,0.19887978199999998
Rh,43.25,0.184990471
Rh,43.5,0.19060380999999998
Rh,43.75,0.18271735444444442
Rh,44.0,0.16153624444444445
Rh,44.25,0.15247917833333333
Rh,44.5,0.15594276625
Rh,44.75,0.1489078781125
Rh,45.0,0.12888600025000002
Rh,45.25,0.12060279874999999
Rh,45.5,0.12944148642857142
Rh,45.75,0.11106394085714287
Rh,46.0,0.10713301142857144
Rh,46.25,0.10371193833333332
Rh,46.5,0.094994153750885
Rh,46.75,0.084994045
Rh,47.0,0.07380909249999999
Rh,47.25,0.0784330982
Rh,47.5,0.06451363800000001
Rh,47.75,0.06441586752
Rh,48.0,0.041215998
Rh,48.25,0.053172307499999995
Rh,48.5,0.0363855565
Rh,48.75,0.0333293175
Rh,49.0,0.0231511975
Rh,49.25,0.021909833333333333
Rh,49.5,0.018128506666666665
Rh,49.75,0.009637473
Rh,50.0,0.006105823333333333
Rh,50.25,0.0009153895
Rh,50.5,0.001377877
Rh,50.75,0.000689625
Rh,51.0,0.0018837
Rh,51.25,0.00106207
Rh,51.5,0.000775199
Rh,51.75,8.24223e-06
Rh,52.0,0.00156077
W,0.25,0.0
W,0.5,0.0
W,0.75,0.0
W,1.0,0.0
W,1.25,0.0
W,1.5,0.0
W,1.75,0.0
W,2.0,0.0
W,2.25,0.0
W,2.5,0.0
W,2.75,0.0
W,3.0,0.0
W,3.25,0.0
W,3.5,0.0
W,3.75,0.0
W,4.0,0.0
W,4.25,0.13741207317073176
W,4.5,0.11760086098122977
W,4.75,0.12526398048780493
W,5.0,0.13843492195121954
W,5.25,0.18999395609756098
W,5.5,0.2975890048780488
W,5.75,0.45987695121951205
W,6.0,0.7275198048780487
W,6.25,1.1364368292682923
W,6.5,1.5683141707317068
W,6.75,1.9891698536585356
W,7.0,2.40855519512195
W,7.25,2.8582370487804876
W,7.5,3.4307495121951206
W,7.75,4.124296341463413
W,8.0,5.8562060975609755
W,8.25,20.983100000000004
W,8.5,19.122892682926825
W,8.75,5.990039268292682
W,9.0,6.984437073170734
W,9.25,6.971280975609758
W,9.5,19.333521951219506
W,9.75,27.12266585365854
W,10.0,16.23575390243903
W,10.25,7.150439292682926
W,10.5,5.440977095121951
W,10.75,5.615643797560977
W,11.0,6.221678856097561
W,11.25,10.324988899999997
W,11.5,8.231661309756095
W,11.75,6.325335602439025
W,12.0,5.405650217073167
W,12.25,4.911081126829268
W,12.5,4.786312887804879
W,12.75,4.754904673170733
W,13.0,4.684675663414633
W,13.25,4.540621343902438
W,13.5,4.522532839024391
W,13.75,4.426680431707317
W,14.0,4.3334777024390245
W,14.25,4.261596043902439
W,14.5,4.197399219512195
W,14.75,4.108903797560976
W,15.0,4.020968495121952
W,15.25,3.933575702439025
W,15.5,3.8745263609756093
W,15.75,3.7874932585365855
W,16.0,3.6915892170731706
W,16.25,3.6166854002675364
W,16.5,3.544504502439024
W,16.75,3.5458538250000005
W,17.0,3.461946894999999
W,17.25,3.463652530769231
W,17.5,3.39211327948718
W,17.75,3.314420156410256
W,18.0,3.2192929871794873
W,18.25,3.2297560684210533
